"","RA","EVADIDO","RESID_ARARAS","BOLSISTA","GRADE_CORRENTE","NOTA_MEDIA","PONTUACAO_PS","TOT_REPROVACOES","NCE047","NCS005","NCS012","SIF001","SIF002","SIF004","SIF005","SIF008","SIF009","SIF010","SIF011","SIF012","SIF015","SIF016","SIF017","SIF019","SIF021","SIF022","SIF026","SIF027","SIF028","SIF031","SIF032","SIF033","SIF034","SIF035","SIF037","SIF040","SIF041","SIF042","SIF043","SIF047","SIF049","SIF055","SIF056","SIF057","SIF058","SIF060","SIF062","SIF063","SIF064","SIF065","SIF066","SIF068","SIF071","SIF003","SIF018","SIF013","SIF014","SIF020","SIF023","SIF025","SIF029","SIF038","SIF039","SIF046","SIF048","SIF070","SIF072","SIF075","SIF082","SIF086","SIF087","NCI001","SIF030","NCS037","NCS040","SIF006","SIF054","SIF073"
"16","09fd66736e28fe9e830c64132657caa4","0","0","1","2016","6.17","48",45,0,0,1,2,1,1,1,1,0,0,2,1,1,1,1,1,1,1,1,1,2,1,1,1,0,1,1,1,4,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
"17","0ad9823f85ef9eba9b72de72810e36ae","1","1","1","2017","1.27","48",14,0,0,0,4,4,4,4,2,4,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","0b0f2e5579621eca96439ae7758f9d7f","1","1","1","2019","0.94","38",5,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19","0b0fa97f0bf856b3f406b5fe1a3d8a26","1","0","0","2015","2.68","25",6,0,0,2,2,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","0baa379587b9d64dc50e0aea24420569","1","1","1","2018","1.17","47",15,0,2,2,4,2,2,2,2,2,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","0c8b0eb5dc76588b3b2ccb8f04d4740a","0","0","0","2017","7.88","55",34,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
"22","0ecc0bfa523cf0b8c5ee2fe67fe7af7f","1","0","1","2016","6.7","48",12,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"23","100e2aadb89a32b36369b8ccf1872d9c","0","1","1","2019","6.25","58",11,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"24","119c15e784d6944011ce610700b3887c","0","0","1","2016","7.78","65",48,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
"25","11a210cb4b8463a909ceb5ad545fa38b","0","0","1","2017","8.48","53",36,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
